carteira,retorno_anual,vol_anual,sharpe,drawdown_max,retorno_acumulado,n_periodos
central_10,0.0808,0.0804,-0.4846,-0.1802,0.3278,920
central_15,0.1005,0.0706,-0.306,-0.151,0.4185,920
central_20,0.0984,0.0671,-0.3536,-0.1674,0.4087,920
peripheral_10,0.0637,0.078,-0.7059,-0.2133,0.2531,920
peripheral_15,0.0582,0.07,-0.87,-0.2147,0.2294,920
peripheral_20,0.0565,0.0671,-0.9345,-0.207,0.2222,920
hybrid_10,0.0633,0.0868,-0.6305,-0.2145,0.2511,920
hybrid_15,0.0765,0.0753,-0.5757,-0.1917,0.3086,920
hybrid_20,0.0729,0.0706,-0.6658,-0.1946,0.2929,920
benchmark,0.0771,0.0856,-0.4894,-0.1559,0.3116,920
