carteira,retorno_anual,vol_anual,sharpe,drawdown_max,retorno_acumulado,n_periodos
central_10,-0.0006,0.0815,0.033,-0.1974,-0.0014,550
central_15,0.0144,0.0771,0.2233,-0.1972,0.0316,550
central_20,0.0153,0.0766,0.2365,-0.1896,0.0337,550
peripheral_10,0.0377,0.0863,0.4723,-0.2141,0.0841,550
peripheral_15,0.0382,0.0773,0.5238,-0.2049,0.0853,550
peripheral_20,0.0461,0.0716,0.665,-0.1956,0.1033,550
hybrid_10,0.0197,0.0787,0.2874,-0.1935,0.0436,550
hybrid_15,0.0332,0.076,0.4676,-0.1877,0.0739,550
hybrid_20,0.019,0.076,0.2858,-0.1957,0.042,550
benchmark,0.0489,0.073,0.69,-0.1559,0.1097,550
